sample_id,label,label_name,image_path
phase1_000000,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000000.jpg
phase1_000001,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000001.jpg
phase1_000002,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000002.jpg
phase1_000003,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000003.jpg
phase1_000004,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000004.jpg
phase1_000005,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000005.jpg
phase1_000006,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000006.jpg
phase1_000007,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000007.jpg
phase1_000008,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000008.jpg
phase1_000009,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000009.jpg
phase1_000010,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000010.jpg
phase1_000011,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000011.jpg
phase1_000012,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000012.jpg
phase1_000013,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000013.jpg
phase1_000014,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000014.jpg
phase1_000015,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000015.jpg
phase1_000016,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000016.jpg
phase1_000017,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000017.jpg
phase1_000018,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000018.jpg
phase1_000019,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000019.jpg
phase1_000020,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000020.jpg
phase1_000021,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000021.jpg
phase1_000022,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000022.jpg
phase1_000023,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000023.jpg
phase1_000024,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000024.jpg
phase1_000025,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000025.jpg
phase1_000026,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000026.jpg
phase1_000027,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000027.jpg
phase1_000028,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000028.jpg
phase1_000029,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000029.jpg
phase1_000030,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000030.jpg
phase1_000031,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000031.jpg
phase1_000032,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000032.jpg
phase1_000033,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000033.jpg
phase1_000034,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000034.jpg
phase1_000035,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000035.jpg
phase1_000036,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000036.jpg
phase1_000037,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000037.jpg
phase1_000038,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000038.jpg
phase1_000039,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000039.jpg
phase1_000040,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000040.jpg
phase1_000041,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000041.jpg
phase1_000042,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000042.jpg
phase1_000043,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000043.jpg
phase1_000044,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000044.jpg
phase1_000045,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000045.jpg
phase1_000046,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000046.jpg
phase1_000047,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000047.jpg
phase1_000048,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000048.jpg
phase1_000049,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000049.jpg
phase1_000050,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000050.jpg
phase1_000051,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000051.jpg
phase1_000052,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000052.jpg
phase1_000053,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000053.jpg
phase1_000054,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000054.jpg
phase1_000055,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_full_v1/phase1_classification/images/phase1_000055.jpg
