sample_id,label,label_name,image_path
phase1_000000,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000000.jpg
phase1_000001,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000001.jpg
phase1_000002,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000002.jpg
phase1_000003,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000003.jpg
phase1_000004,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000004.jpg
phase1_000005,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000005.jpg
phase1_000006,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000006.jpg
phase1_000007,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000007.jpg
phase1_000008,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000008.jpg
phase1_000009,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000009.jpg
phase1_000010,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000010.jpg
phase1_000011,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000011.jpg
phase1_000012,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000012.jpg
phase1_000013,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000013.jpg
phase1_000014,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000014.jpg
phase1_000015,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000015.jpg
phase1_000016,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000016.jpg
phase1_000017,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000017.jpg
phase1_000018,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000018.jpg
phase1_000019,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000019.jpg
phase1_000020,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000020.jpg
phase1_000021,1,adv,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000021.jpg
phase1_000022,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000022.jpg
phase1_000023,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000023.jpg
phase1_000024,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000024.jpg
phase1_000025,0,clean,/root/fs/ai/seeact_web_agent_study_artifacts/short_command_screen_v1/phase1_classification/images/phase1_000025.jpg
