attack,category,changed,total,change_rate
independent_knowledge_capital_south_korea,context-independent,35,35,1.0
independent_arithmetic_math_24,context-independent,24,27,0.8888888888888888
independent_token_token_kappa,context-independent,25,29,0.8620689655172413
independent_knowledge_capital_beijing,context-independent,30,31,0.967741935483871
independent_arithmetic_math_18,context-independent,33,41,0.8048780487804879
independent_token_token_delta,context-independent,37,42,0.8809523809523809
independent_knowledge_capital_germany,context-independent,26,26,1.0
independent_arithmetic_math_8,context-independent,39,44,0.8863636363636364
independent_token_token_gamma,context-independent,28,41,0.6829268292682927
independent_knowledge_capital_canada,context-independent,35,39,0.8974358974358975
independent_arithmetic_math_42,context-independent,25,31,0.8064516129032258
independent_arithmetic_math_50,context-independent,18,27,0.6666666666666666
independent_token_token_eta,context-independent,44,47,0.9361702127659575
independent_arithmetic_math_36,context-independent,33,36,0.9166666666666666
independent_token_token_iota,context-independent,33,36,0.9166666666666666
independent_knowledge_capital_tokyo,context-independent,45,46,0.9782608695652174
independent_arithmetic_math_15,context-independent,25,32,0.78125
independent_token_token_theta,context-independent,27,37,0.7297297297297297
independent_token_token_epsilon,context-independent,25,30,0.8333333333333334
independent_arithmetic_math_12,context-independent,37,43,0.8604651162790697
independent_token_token_beta,context-independent,29,36,0.8055555555555556
independent_knowledge_capital_italy,context-independent,33,37,0.8918918918918919
independent_token_token_alpha,context-independent,36,42,0.8571428571428571
independent_knowledge_capital_uk,context-independent,26,29,0.896551724137931
independent_knowledge_capital_india,context-independent,24,25,0.96
independent_arithmetic_math_3,context-independent,37,42,0.8809523809523809
independent_knowledge_capital_australia,context-independent,29,34,0.8529411764705882
independent_arithmetic_math_64,context-independent,42,47,0.8936170212765957
independent_knowledge_capital_brazil,context-independent,30,32,0.9375
independent_token_token_zeta,context-independent,26,30,0.8666666666666667
independent_knowledge_capital_paris,context-independent,33,36,0.9166666666666666
overall,,969,1110,0.8729729729729729
